procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 507180  34620   2172 126716    0    0     0     0 2853  411  1  7 93  0  0
 0  0 507180  35036   2172 126716    0    0     0     0 4140  470  0  7 93  0  0
 0  0 507180  27800   2180 126720    0    0     0    28 8402 1140  1 18 81  0  0
 0  0 507180  34780   2180 126724    0    0     0    16 5762  817  1 15 84  0  0
 0  0 507180  32916   2180 126728    0    0     0     0 4021  498  1  9 91  0  0
 0  0 507180  35932   2180 126728    0    0     0     0 3434  448  1  7 92  0  0
 0  0 507180  31828   2180 126732    0    0     0     0 3995  730  1  6 93  1  0
 0  0 507180  35020   2188 126740    0    0     0    28 9498 1388  1 24 74  0  0
 0  0 507180  35124   2188 126740    0    0     0    20 4523  523  1 10 90  0  0
 0  0 507180  33516   2188 126740    0    0     0     0 2893  405  1  5 94  0  0
 0  0 507180  33868   2188 126744    0    0     0     0 2446  269  0  4 96  0  0
 0  0 507180  31912   2188 126744    0    0     0     0 6949  867  0 14 86  0  0
 0  0 507180  32956   2196 126752    0    0     0    28 9528 1610  2 33 65  0  0
 0  0 507180  33672   2196 126752    0    0     0     0 2968  392  1  4 95  0  0
 0  0 507180  34756   2196 126756    0    0     0    20 3003  447  0  8 92  0  0
 0  0 507180  33740   2196 126756    0    0     0     0 3704  376  0  6 94  0  0
 0  0 507180  31732   2196 126760    0    0     0     0 6878  845  1 15 84  0  0
 0  0 507180  33508   2236 127152    8    0   392   208 7732 1125  0 19 80  1  0
 1  0 507180  32364   2236 129204    8    0  1732     0 3142  681  1 10 89  1  0
 1  0 507180  27176   2244 132780   36    0  3384    24 2654  747  0 13 87  1  0
 0  0 507180  29148   2244 132784    0    0     0     0 3717  412  1  8 91  0  0
 0  0 507180  27368   2244 132788    0    0     0     0 6995  937  1 19 80  0  0
 0  0 507180  29388   2244 132792    0    0     0   156 6033  889  0 17 83  1  0
 1  0 507180  28892   2252 132796    0    0     0    44 4286  467  0 10 90  0  0
 0  0 507180  28444   2252 132796    0    0     0    20  864  214  0  2 98  0  0
 0  0 507180  28056   2252 132796    0    0     0     0 4409  546  1 12 88  0  0
 0  0 507180  16508   2252 132804    0    0     0     0 10469 2344  1 32 67  0  0
 0  0 507180  28016   2252 132808    0    0     0     0 4641  824  0 15 85  0  0
 0  0 507180  28576   2260 132808    0    0     0    28 3598  374  1  6 93  1  0
 0  0 507180  28808   2260 132808    0    0     0    16 4037  544  0  9 91  0  0
 0  0 507180  21452   2260 132812    0    0     0     0 3066  480  1 10 89  0  0
 0  0 507180  19892   2260 132820    0    0     0     0 10403 1803  1 36 64  0  0
 0  0 507180  26980   2260 132820    0    0     0     0 5234  634  0 12 88  0  0
 0  0 507180  29152   2268 132824    0    0     0    28 2801  386  1  6 93  1  0
 0  0 507180  27768   2268 132824    0    0     0    20 2310  234  0  2 98  0  0
 2  0 507180  25016   2268 132824    0    0     0     0 5555  623  1 13 85  0  0
 0  0 507180  29560   2268 132832    0    0     0     0 9665 1677  1 35 64  0  0
 0  0 507180  29476   2268 132836    0    0     0     0 5056  481  0  9 91  0  0
 0  0 507180  28160   2276 132836    0    0     0    28 2583  323  1  5 94  0  0
 0  0 507180  28188   2276 132840    0    0     0     0 2439  366  0  8 92  0  0
 0  0 507180  26208   2276 132844    0    0     0    20 7535  821  1 15 84  0  0
 0  0 507180  29072   2276 132848    0    0     0     0 9380 2273  1 29 70  0  0
 0  0 507180  28348   2276 132848    0    0     0     0 3620  373  0  4 96  0  0
 0  0 507180  28032   2284 132844   96    0    96    28 4076  600  1  9 90  1  0
 0  0 507180  28264   2284 132852   28    0    28     0 1496  294  0  2 97  1  0
 0  0 506924  22896   2284 132856  168    0   168    20 7130 1241  2 23 75  1  0
 0  0 507180  32132   2220 131760   36  312    36   312 6489 1946  1 29 69  1  0
 3  0 507180  30200   2220 131764   96    0    96     0 6575 1054  1 16 83  1  0
 0  0 507180  31204   2228 131760    0    0     0    28 9432 1265  1 27 72  1  0
 0  0 507180  26392   2500 134304  540    0  3364     0 5124 1104  2  8 88  2  0
 0  0 507180  27780   2500 134328    0    0     0    32 4514  633  0 15 85  0  0
 0  0 507180  22504   2508 134324    0    0     0    40 4958  582  0 11 88  1  0
 0  0 507180  27180   2508 134332    0    0     0     0 4918  567  1 11 89  0  0
 0  0 507180  27260   2508 134336   32    0    32    32 5121  762  1 19 81  0  0
 0  0 507180  27020   2508 134340    0    0     0     0 5527  615  1 11 88  0  0
 0  0 507180  28084   2508 134344    0    0     0    20 5113  607  1 11 88  0  0
 0  0 507180  26712   2516 134340    0    0     0    28 6199  695  1 15 84  1  0
 0  0 507180  26460   2516 134352    0    0     0     0 5660  620  1 13 87  0  0
 0  0 507180  28844   2516 134356    0    0     0     0 7436  733  0 18 82  0  0
 1  0 507180  23004   2516 134360    0    0     0     0 7046  775  2 17 81  0  0
 0  0 507180  24484   2516 134360    0    0     0    24 5622  618  0 12 88  0  0
 0  0 507180  27352   2524 134364    0    0     0    28 6838  725  0 14 86  1  0
 0  0 507180  29268   2524 134368    0    0     0     0 7159 1188  1 18 82  0  0
 1  0 507180  26364   2524 134372    0    0     0     0 4446  509  1 11 88  0  0
 0  0 507180  28320   2524 134376    0    0     0     0 4510  546  1 12 88  0  0
 0  0 507180  24624   2524 134380    4    0     4     0 5264  532  0 11 89  0  0
 0  0 507180  28484   2532 134376    0    0     0    48 4825  916  1 12 87  1  0
 1  0 507180  23192   2532 134384    0    0     0     0 4366  540  1 12 88  0  0
 0  0 507180  24564   2532 134388    0    0     0     0 4230  460  1  9 91  0  0
 0  0 507180  28436   2532 134392    0    0     0     0 6136  569  1 11 88  0  0
 1  0 507180  25528   2532 134400    0    0     0     0 7882  677  1 15 85  0  0
 0  0 507180  26024   2540 134404    4    0     4    16 4891  605  0 11 89  1  0
 0  0 507180  28968   2540 134408    0    0     0     0 6397  536  1 12 87  0  0
 2  0 507180  25096   2540 134412    0    0     0     0 5384  555  0 15 85  0  0
 0  0 507180  26216   2540 134412    0    0     0     0 4797  487  1 10 90  0  0
 0  0 507180  29636   2540 134416    0    0     0     0 5543  840  0 12 88  0  0
 0  0 507180  28336   2540 134420    0    0     0     0 5960  585  0 11 89  0  0
 1  0 507180  24140   2548 134424    0    0     0    16 5512  537  0 11 89  0  0
 0  0 507180  27116   2548 134428    0    0     0     0 6389  641  1 14 86  0  0
 0  0 507180  22660   2548 134432    0    0     0     0 5378  558  1 10 90  0  0
 0  0 507180  27416   2548 134436    0    0     0     0 4652  456  0 11 89  0  0
 3  0 507180  15100   2548 134436    0    0     0     8 6364 2067  1 16 83  0  0
 0  0 507180  28672   2556 134444    0    0     0    24 8714 3197  1 19 80  0  0
 0  0 507180  28724   2556 134448    0    0     0     0 6049  553  1 13 86  0  0
 0  0 507180  27316   2556 134448    0    0     0     0 5121  540  1 11 88  0  0
 0  0 507180  28244   2556 134452    0    0     0     0 4119  442  1 10 89  0  0
 0  0 507180  27108   2556 134456    0    0     0     0 5686  582  0 14 86  0  0
 0  0 507180  27760   2564 134460    0    0     0    40 6175  597  1  9 90  1  0
 0  0 507180  26576   2564 134464    0    0     0     0 5330  498  0  9 91  0  0
 0  0 507180  20644   2564 134468    0    0     0     0 7882  746  1 16 83  0  0
 0  0 507180  28344   2564 134468    0    0     0     0 5517  480  1 10 89  0  0
 0  0 507180  27572   2564 134472    0    0     0     0 3908  433  1  7 93  0  0
 0  0 507180  28572   2572 134476    0    0     0    16 6577 1892  1 17 82  1  0
 1  0 507180  22504   2572 134480    0    0     0     0 4982  754  1 14 85  0  0
 0  0 507180  29448   2572 134484    0    0     0     0 6413  683  1 18 81  0  0
 1  0 507180  24132   2572 134488    0    0     0     0 4336  473  0  9 91  0  0
 0  0 507180  28772   2572 134492   16    0    16   112 7863  731  1 20 80  0  0
 0  0 507180  20308   2580 134492    0    0     0    28 6024  812  0 14 86  0  0
 0  0 507180  29084   2580 134496    0    0     0     0 7102  764  1 20 80  0  0
 0  0 507180  29024   2580 134500    0    0     0     0 7100  759  1 17 82  0  0
 1  0 507180  26492   2580 134504    0    0     0     0 4234  494  0 10 90  0  0
 0  0 507180  25812   2580 134508    0    0     0     0 4392  478  1  9 90  0  0
 0  0 507180  27112   2588 134512    0    0     0    16 6534  546  0 12 88  0  0
 0  0 507180  28992   2588 134516    0    0     0     0 5910  580  0 16 84  0  0
 0  0 507180  27828   2588 134516    0    0     0     0 7657  670  1 17 83  0  0
 3  0 507180  18428   2588 134520    0    0     0     0 6431  663  1 18 81  0  0
 0  0 507180  28340   2588 134524    0    0     0     0 4302  637  1 13 86  0  0
 0  0 507180  26468   2596 134528    0    0     0    16 6731  830  1 18 81  1  0
 0  0 507180  28528   2596 134536    0    0     0     0 6847  950  1 18 81  0  0
 0  0 507180  25540   2596 134536    4    0     4     0 6511  810  1 15 85  0  0
 0  0 507180  27636   2596 134544    0    0     0     0 8575  951  1 20 79  0  0
 0  0 507180  26488   2596 134544    0    0     0     0 4917  601  0 11 89  0  0
 1  0 507180  22868   2604 134548    0    0     0    20 5887  683  0 15 84  1  0
 0  0 507180  27116   2604 134552    0    0     0     0 6221  813  1 16 83  0  0
 0  0 507180  27592   2604 134556    0    0     0     0 4774  540  0 12 88  0  0
 0  0 507180  24604   2604 134560    0    0     0     0 6775 1053  0 20 80  0  0
 0  0 507180  27492   2604 134564    0    0     0     0 6860  697  0 19 81  0  0
 0  0 507180  26388   2612 134568    0    0     0    16 7547  793  0 16 84  0  0
 0  0 507180  26196   2612 134576    0    0     0     0 5090  559  0 13 87  0  0
 0  0 507180  26848   2612 134580    0    0     0     0 5549  546  1 10 90  0  0
 0  0 507180  28536   2612 134584    0    0     0     0 6876  720  1 17 82  0  0
 0  0 507180  28188   2612 134592    0    0     0     0 7637  807  2 19 80  0  0
 0  0 507180  27524   2620 134592    0    0     0    32 6118  710  0 14 85  1  0
 0  0 507180  28592   2620 134600    0    0     0     0 3667  534  0 11 89  0  0
 0  0 507180  27968   2620 134604    0    0     0     0 6818  630  1 11 88  0  0
 1  0 507180  25668   2620 134604    0    0     0     0 4298  563  0 12 88  0  0
 2  0 507180  20428   2620 134612    0    0     0     0 5939  696  0 16 84  0  0
 0  0 507180  27004   2628 134612    0    0     0   136 4356  763  0 10 90  1  0
 0  0 507180  25096   2628 134616    0    0     0     0 5821  694  1 16 83  0  0
 0  0 507180  28796   2628 134620    0    0     0     0 4997  624  1 13 86  0  0
 0  0 507180  25916   2628 134628    4    0     4     0 4481  654  0 10 89  1  0
 0  0 507180  26936   2628 134628    0    0     0     0 7826  733  1 16 83  0  0
 0  0 507180  23600   2636 134636    0    0     0    52 7232  654  0 14 86  0  0
 0  0 507180  21504   2636 134636    0    0     0     0 3931  619  0  9 91  0  0
 0  0 507180  26776   2636 134640    0    0     0     0 7605 1302  1 24 75  0  0
 0  0 507180  28804   2636 134648    0    0     0     0 5597  573  1 11 89  0  0
 0  0 507180  29120   2636 134652    0    0     0     0 6354 1075  1 20 79  0  0
 0  0 507180  27380   2644 134656    0    0     0    28 5405 1810  1 15 85  0  0
 0  0 507180  23868   2644 134656    0    0     0     0 5097 1201  0 16 84  0  0
 0  0 507180  25600   2644 134664    0    0     0     0 5878  596  0 13 88  0  0
 0  0 507180  28296   2644 134664    0    0     0     0 6836  726  1 20 79  0  0
 0  0 507180  28532   2644 134672    0    0     0     0 6067  716  0 16 84  0  0
 0  0 507180  28152   2652 134672    0    0     0    16 5876 2591  1 21 78  1  0
 1  0 507180  25140   2652 134676    0    0     0     8 5980  861  1 14 85  0  0
 0  0 507180  26060   2652 134684    0    0     0     0 7704  795  1 18 81  0  0
 0  0 507180  27268   2652 134684    0    0     0     0 8840  894  1 21 78  0  0
 0  0 507180  27404   2652 134692    0    0     0     0 7259  798  1 17 82  0  0
 0  0 507180  27544   2660 134692    0    0     0    24 5876 1413  0 17 83  0  0
 0  0 507180  27128   2660 134700    0    0     0     0 5143  477  1  9 91  0  0
 0  0 507180  27956   2660 134704    0    0     0     0 6414  748  0 17 83  0  0
 0  0 507180  27708   2660 134708    0    0     0     0 5961  609  1 12 88  0  0
 0  0 507180  23848   2660 134712    0    0     0     0 6185  673  0 15 85  0  0
 0  0 507180  27160   2668 134712    0    0     0    16 5293  542  1 13 86  1  0
 0  0 507180  27880   2668 134720    0    0     0     0 5611  632  1 13 87  0  0
 0  0 507180  26920   2668 134724    0    0     0     0 5468  642  1 11 88  0  0
 0  0 507180  28544   2668 134728    0    0     0     0 7966  749  1 17 82  0  0
 0  0 507180  27628   2668 134732    0    0     0     0 9046  747  1 18 81  0  0
 0  0 507180  26056   2676 134728    0    0     0    16 7575  951  0 14 86  0  0
 0  0 507180  27892   2676 134740    0    0     0    20 7976  728  1 15 84  0  0
 0  0 507180  25788   2676 134744    0    0     0     0 9648  955  1 29 71  0  0
 1  0 507180  22900   2676 134748    0    0     0     0 5611  537  1 13 87  0  0
 0  0 507180  28092   2676 134752    0    0     0     0 3874  423  0  8 92  0  0
 0  0 507180  20768   2684 134748    0    0     0    16 8810 1445  1 27 72  1  0
 0  0 507180  27044   2684 134760    0    0     0   128 7304  681  1 15 84  0  0
 2  0 507180  23800   2684 134764    0    0     0     0 7129  682  0 16 84  0  0
 0  0 507180  28176   2684 134768    0    0     0     0 6218  637  1 14 86  0  0
 1  0 507180  22224   2684 134772    0    0     0     0 7197  816  1 14 85  0  0
 0  0 507180  27420   2692 134768    0    0     0    28 9296 1269  1 18 81  1  0
 0  0 507180  27420   2692 134776    0    0     0     0  387  219  0  0 100  0  0
